NEW_BUS_ID,RECONCILIATION_NUM,Percentage,Accum_Percentage,Client_Num
5853,6,0,0.886,958
15704,6,0,0.886,959
26268,6,0,0.886,960
15129,6,0,0.886,961
13895,6,0,0.887,962
31388,6,0,0.887,963
28130,6,0,0.887,964
28190,6,0,0.887,965
38187,6,0,0.887,966
33911,6,0,0.887,967
15355,6,0,0.887,968
14571,6,0,0.887,969
31316,6,0,0.887,970
32345,6,0,0.888,971
31551,6,0,0.888,972
15080,6,0,0.888,973
14602,6,0,0.888,974
14608,6,0,0.888,975
29750,6,0,0.888,976
37988,6,0,0.888,977
33837,6,0,0.888,978
30550,6,0,0.888,979
14679,6,0,0.888,980
33758,6,0,0.889,981
15630,6,0,0.889,982
14652,6,0,0.889,983
15686,6,0,0.889,984
33970,6,0,0.889,985
34030,6,0,0.889,986
16593,6,0,0.889,987
31537,6,0,0.889,988
27630,6,0,0.889,989
33755,5,0,0.89,990
38491,5,0,0.89,991
35523,5,0,0.89,992
15857,5,0,0.89,993
7393,5,0,0.89,994
4833,5,0,0.89,995
36896,5,0,0.89,996
14746,5,0,0.89,997
35593,5,0,0.89,998
14875,5,0,0.89,999
35505,5,0,0.89,1000
21875,5,0,0.89,1001
20341,5,0,0.891,1002
21815,5,0,0.891,1003
36870,5,0,0.891,1004
4513,5,0,0.891,1005
35363,5,0,0.891,1006
30970,5,0,0.891,1007
5253,5,0,0.891,1008
35499,5,0,0.891,1009
14676,5,0,0.891,1010
6193,5,0,0.891,1011
36909,5,0,0.891,1012
35419,5,0,0.892,1013
38235,5,0,0.892,1014
22965,5,0,0.892,1015
16440,5,0,0.892,1016
